active,passive,verb
Someone was banished somewhere far away.,"The sentence ""Someone was banished somewhere far away"" is already in passive voice. If you wanted to change it to active voice, you would need to specify who did the banishing. For example, ""The king banished someone somewhere far away."" 

However, if you're looking to keep it in passive voice but wish to slightly rephrase it, you might say:

""Someone was banished to a faraway place."" 

If you have a different request or need further assistance, please let me know!",banish
Somebody robbed something.,Output: Something was robbed by somebody.,rob
Something robbed someone.,The passive version of the sentence is: Someone was robbed by something.,rob
Somebody rewarded someone for their hard work.,The reward was given to someone by somebody for their hard work.,reward
Something rewarded somebody unexpectedly.,Something was unexpectedly rewarded by somebody.,reward
Somebody filed for a divorce.,The divorce was filed for by somebody.,divorce
Something caused someone to consider a divorce.,A divorce was considered by someone due to something.,divorce
Somebody complimented someone.,"The sentence ""Somebody complimented someone."" can be passivized as follows:

Output: Someone was complimented by somebody.",compliment
Something complimented somebody.,Output: Somebody was complimented by something.,compliment
Somebody congratulated someone.,Output: Someone was congratulated by somebody.,congratulate
Something congratulated somebody.,Output: Somebody was congratulated by something.,congratulate
Somebody excused something.,Output: Something was excused by somebody.,excuse
Something excused someone.,Output: Someone was excused by something.,excuse
Somebody forgave somebody.,"The sentence ""Somebody forgave somebody"" can be passivized as ""Somebody was forgiven by somebody.""",forgive
Something forgave someone.,Output: Someone was forgiven by something.,forgive
Somebody greeted someone.,Output: Someone was greeted by somebody.,greet
Something greeted somebody.,Output: Somebody was greeted by something.,greet
Somebody praised something.,Output: Something was praised by somebody.,praise
Something praised someone.,Output: Someone was praised by something.,praise
Somebody thanked someone for their help.,The help was thanked for by somebody.,thank
Something made someone feel thankful.,Someone was made to feel thankful by something.,thank
Somebody welcomed someone.,Output: Someone was welcomed by somebody.,welcome
Something welcomed somebody.,Output: Somebody was welcomed by something.,welcome
Somebody criticized something. ,Output: Something was criticized by somebody.,criticize
Something criticized someone.,"The sentence ""Something criticized someone."" can be passivized as: ""Someone was criticized by something.""",criticize
Somebody insulted someone. ,"The sentence can be passivized as follows: 

Output: Someone was insulted by somebody.",insult
Something insulted somebody.,Output: Somebody was insulted by something.,insult
Somebody mocked someone.,Output: Someone was mocked by somebody.,mock
Something mocked somebody.,Output: Somebody was mocked by something.,mock
Somebody punished someone.,Output: Someone was punished by somebody.,punish
Something punished somebody.,Output: Somebody was punished by something.,punish
Somebody scolded someone.  ,Somebody was scolded by someone.,scold
Something scolded somebody.,The somebody was scolded by something.,scold
Somebody told someone off.  ,Output: Someone was told off by somebody.,tell off
Something told somebody off.  ,Something was told off by somebody.,tell off
Somebody agreed with someone.,The agreement was made by somebody with someone.,agree with
Something agreed with somebody.,Something was agreed upon by somebody.,agree with
Somebody argued with someone.,"The sentence ""Somebody argued with someone"" can be passivized as follows: 

Output: Someone was argued with by somebody.",argue with
Someone argued with something.,"The sentence ""Someone argued with something."" can be passivized as: ""Something was argued with by someone.""",argue with
Somebody cooperated with someone.,Somebody was cooperated with by someone.,cooperate with
Something cooperated with somebody.,Something was cooperated with by somebody.,cooperate with
Somebody disagreed with something that was said.,Something that was said was disagreed with by somebody.,disagree with
Someone disagreed with somebody else's opinion.,Somebody else's opinion was disagreed with by someone.,disagree with
Somebody quarreled with someone.,"The sentence ""Somebody quarreled with someone"" can be passivized as: ""Someone was quarreled with by somebody.""",quarrel with
Something caused someone to quarrel.,The quarrel was caused by something.,quarrel with
Somebody squabbled with someone.,"The sentence can be passivized as: ""Someone was squabbled with by somebody.""",squabble with
Something squabbled with somebody.,Output: Somebody was squabbled with by something.,squabble with
Somebody courted someone.,Output: Someone was courted by somebody.,court
Something in the park courted a stranger.,The stranger was courted by something in the park.,court
Somebody cuddled with something soft.,The something soft was cuddled with by somebody.,cuddle
"Somewhere, someone cuddled their pet.",The pet was cuddled by someone somewhere.,cuddle
Somebody went on a date with someone.  ,A date was gone on by somebody with someone.,date
Something interesting happened on that date.  ,Output: Something interesting was happened on that date.,date
Somebody embraced someone.,Output: Someone was embraced by somebody.,embrace
"Somewhere, something embraced somebody.",Somebody was embraced by something.,embrace
Somebody hugged someone.,The sentence in passive voice is: Someone was hugged by somebody.,hug
Something hugged somebody.,Output: Somebody was hugged by something.,hug
Somebody married someone.,"The sentence ""Somebody married someone"" can be passivized as: ""Someone was married by somebody.""",marry
Something led someone to marry.,Output: Someone was led by something to marry.,marry
Somebody fought something.,Output: Something was fought by somebody.,fight
Something fought someone.,"The sentence ""Something fought someone"" can be passivized as: ""Someone was fought by something.""",fight
Somebody met someone.,Output: Someone was met by somebody.,meet
Something met somewhere.,Output: Somewhere was met by something.,meet
Somebody visited somewhere interesting.,Output: Somewhere interesting was visited by somebody.,visit
Someone visited something that caught their attention.,Something that caught their attention was visited by someone.,visit
Somebody called someone.,Output: Someone was called by somebody.,call
Something called somewhere.,"The sentence ""Something called somewhere"" does not have a clear subject-verb-object structure, as it is somewhat ambiguous. However, if we interpret ""called"" as a verb, we can passivize it to create a similar structure. 

Output: Somewhere was called by something.",call
Somebody spoke to someone.,Output: Someone was spoken to by somebody.,speak to
Something spoke to somebody.,Output: Somebody was spoken to by something.,speak to
Somebody talked to someone.,The person was talked to by somebody.,talk to
Something talked to somebody.,"The sentence can be passivized as follows: 

Output: Somebody was talked to by something.",talk to
Somebody chatted to someone.,Output: Someone was chatted to by somebody.,chat to
Something chatted to somebody.,"The sentence in passive voice would be: ""Somebody was chatted to by something.""",chat to
Somebody conversed with someone.,Someone was conversed with by somebody.,converse with
Something conversed with somebody.,Output: Somebody was conversed with by something.,converse with
Somebody gossiped about something.,Something was gossiped about by somebody.,gossip
"Somewhere, someone is gossiping about somebody.","Somewhere, somebody is being gossiped about by someone.",gossip
Somebody advised someone on the best course of action.  ,The best course of action was advised to someone by somebody.,advise
Something advised somebody to take a different approach.,The different approach was advised to be taken by somebody.,advise
Somebody instructed someone.,Output: Someone was instructed by somebody.,instruct
Something instructed somebody.,Output: Somebody was instructed by something.,instruct
Somebody warned someone about the danger.,The danger was warned about by somebody.,warn
Something warned somebody of the approaching storm.,The approaching storm was warned of by somebody.,warn
Somebody fed something.  ,Output: Something was fed by somebody.,feed
Something fed someone.  ,Output: Someone was fed by something.,feed
Somebody hurt something.,The something was hurt by somebody.,hurt
Something hurt someone.,Output: Someone was hurt by something.,hurt
Somebody dressed something.,Output: Something was dressed by somebody.,dress
Something dressed someone.,The sentence in passive voice is: Someone was dressed by something.,dress
Somebody groomed something.,Output: Something was groomed by somebody.,groom
Something groomed someone.,Output: Someone was groomed by something.,groom
Somebody dispatched something.,Output: Something was dispatched by somebody.,dispatch
Something dispatched someone.,Output: Someone was dispatched by something.,dispatch
Somebody eliminated something.,Output: Something was eliminated by somebody.,eliminate
Someone eliminated somewhere.,The sentence in passive voice is: Somewhere was eliminated by someone.,eliminate
Somebody executed something. ,"The sentence, when passivized, would be: ""Something was executed by somebody.""",execute
Something executed someone.,Output: Someone was executed by something.,execute
Somebody killed something.,Output: Something was killed by somebody.,kill
Something killed someone.,"The sentence ""Something killed someone."" can be passivized to:

""Someone was killed by something.""",kill
Somebody committed murder somewhere.,Output: Murder was committed by somebody somewhere.,murder
Something about the murder frightened someone.,Something about the murder was frightening to someone.,murder
Somebody slayed something.,Output: Something was slayed by somebody.,slay
Something slayed someone.,Output: Someone was slayed by something.,slay
Somebody drowned somewhere. ,"The sentence ""Somebody drowned somewhere."" can be passivized as:

""Somewhere was drowned by somebody."" 

(Note: This example illustrates the passive structure, but it sounds awkward and may not be commonly used in practice.)",drown
Something drowned someone.,The sentence in passive voice would be: Someone was drowned by something.,drown
Somebody found a knife somewhere.  ,The knife was found by somebody somewhere.,knife
Something sharp cut someone with a knife.  ,The knife was used by something sharp to cut someone.,knife
Somebody stabbed something.,The something was stabbed by somebody.,stab
"Somewhere, somebody stabbed someone.",Output: Someone was stabbed by somebody.,stab
Somebody strangled something.,The something was strangled by somebody.,strangle
Something strangled someone.,Output: Someone was strangled by something.,strangle
Somebody suffocated something in the closed box.,The something was suffocated by somebody in the closed box.,suffocate
Something suffocated someone in the dense smoke.,The someone was suffocated by something in the dense smoke.,suffocate
Somebody abandoned something. ,Something was abandoned by somebody.,abandon
Someone abandoned somewhere.,The somewhere was abandoned by someone.,abandon
Somebody deserted something.,Output: Something was deserted by somebody.,desert
Something deserted someone.,Output: Someone was deserted by something.,desert
Somebody raced somewhere.,Output: Somewhere was raced to by somebody.,race
Something raced someone.,Output: Someone was raced by something.,race
Somebody chased something. ,The something was chased by somebody.,chase
Something chased someone.,Output: Someone was chased by something.,chase
Somebody followed someone.,Output: Someone was followed by somebody.,follow
Something followed somebody.,Output: Somebody was followed by something.,follow
Somebody pursued something.,Output: Something was pursued by somebody.,pursue
Something pursued someone.,Output: Someone was pursued by something.,pursue
Somebody cast a shadow somewhere.,The shadow was cast by somebody.,shadow
Something followed someone’s shadow.,The shadow was followed by something.,shadow
Somebody found a tail somewhere.  ,A tail was found by somebody somewhere.,tail
Something with a tail scared someone.  ,Something with a tail was scared by someone.,tail
Somebody tracked something.,The something was tracked by somebody.,track
Something tracked someone.,Something was tracked by someone.,track
Somebody left a trail somewhere.,A trail was left somewhere by somebody.,trail
Something followed the trail of someone.,The trail of someone was followed by something.,trail
Somebody accompanied somebody else.,Output: Somebody else was accompanied by somebody.,accompany
Something accompanied someone to the event.,Output: Someone was accompanied by something to the event.,accompany
Somebody escorted someone to the event.,The event was attended by someone escorted by somebody.,escort
Something escorted somewhere unexpected.,Output: Somewhere unexpected was escorted by something.,escort
Somebody guided something through the forest.,The something was guided through the forest by somebody.,guide
Someone guided somewhere new for us to explore.,"The sentence ""Someone guided somewhere new for us to explore"" can be passivized as follows:

Output: Somewhere new was guided by someone for us to explore.",guide
Somebody led somewhere interesting.,The interesting place was led to by somebody.,lead
Something led someone to wonder.,Output: Someone was led to wonder by something.,lead
Somebody helped someone.,Output: Someone was helped by somebody.,help
Something helped somebody.,Output: Somebody was helped by something.,help
Somebody tripped over something.,Something was tripped over by somebody.,trip
Something tripped someone.,"The sentence ""Something tripped someone."" can be passivized as:

""Someone was tripped by something.""",trip
Somebody aggravated something.,"The sentence ""Somebody aggravated something"" can be passivized as:

""Something was aggravated by somebody.""",aggravate
Something aggravated someone.,Output: Someone was aggravated by something.,aggravate
Somebody amazed me with something incredible.,The incredible thing was amazed by me.,amaze
Something about the performance amazed someone in the audience.,The audience was amazed by something about the performance.,amaze
Somebody amused someone. ,The sentence in passive voice would be: Someone was amused by somebody.,amuse
Something amused somebody.,Output: Somebody was amused by something.,amuse
Somebody angered someone.,Output: Someone was angered by somebody.,anger
Something angered somebody.,"The sentence ""Something angered somebody."" can be passivized as:

""Somebody was angered by something.""",anger
Somebody annoyed someone.,Output: Someone was annoyed by somebody.,annoy
Something annoyed somebody.,Output: Somebody was annoyed by something.,annoy
Somebody astonished someone.,Output: Someone was astonished by somebody.,astonish
Something astonished somebody.,Output: Somebody was astonished by something.,astonish
Somebody bothered someone.,"The sentence ""Somebody bothered someone."" can be passivized as: ""Someone was bothered by somebody.""",bother
Something bothered somebody.,Output: Somebody was bothered by something.,bother
Somebody calmed someone.,The sentence in passive voice would be: Someone was calmed by somebody.,calm
Something calmed somewhere.,Output: Somewhere was calmed by something.,calm
Somebody cheered up someone.,The sentence in passive voice is: Someone was cheered up by somebody.,cheer up
Something cheered up somebody.,Somebody was cheered up by something.,cheer up
Somebody comforted somebody.,"The sentence ""Somebody comforted somebody."" can be passivized as ""Somebody was comforted by somebody.""",comfort
Something comforted someone.,Output: Someone was comforted by something.,comfort
Somebody dazzled someone with their performance.,The performance was dazzled by someone.,dazzle
Something dazzled everybody at the event.,Output: Everybody was dazzled by something at the event.,dazzle
Somebody depressed someone.,The sentence in passive voice would be: Someone was depressed by somebody.,depress
Something depressed somebody.,Something was depressed by somebody.,depress
Somebody found something disgusting.  ,Something disgusting was found by somebody.,disgust
Something disgusted someone.,Something was disgusting to someone.,disgust
Somebody distracted someone during the meeting.,"During the meeting, someone was distracted by somebody.",distract
Something distracted somebody from their work.,Output: Somebody was distracted from their work by something.,distract
Somebody disturbed something in the garden.,Something in the garden was disturbed by somebody.,disturb
Something disturbed someone in the middle of the night.,Someone was disturbed by something in the middle of the night.,disturb
Somebody embarrassed somebody else. ,The sentence in passive voice is: Somebody else was embarrassed by somebody.,embarass
Something embarrassed someone at the party.,Output: Someone was embarrassed by something at the party.,embarass
Somebody encouraged someone.,"The sentence in passive voice would be: ""Someone was encouraged by somebody.""",encourage
Something encouraged somebody.,Output: Somebody was encouraged by something.,encourage
Somebody enraged somebody else.,"The sentence, when passivized, would be: ""Somebody else was enraged by somebody.""",enrage
Something about the situation enraged someone.,The situation was enraged by someone.,enrage
Somebody entertained something.,Output: Something was entertained by somebody.,entertain
Something entertained someone.,Output: Someone was entertained by something.,entertain
Somebody found something that fascinates them.,Something that fascinates them was found by somebody.,fascinate
Something about someone fascinates the crowd.,The crowd is fascinated by something about someone.,fascinate
Somebody frightened someone.,Output: Someone was frightened by somebody.,frighten
Something frightened somewhere.,Output: Somewhere was frightened by something.,frighten
Somebody horrified someone with the sudden news.,The sudden news was horrifying to someone by somebody.,horrify
Something horrified somebody during the scary movie.,The scary movie horrified somebody.,horrify
Somebody impressed somebody with their talent.,The talent was impressed upon somebody by somebody.,impress
Something impressed someone during the performance.,The performance impressed someone.,impress
Somebody infuriated someone.,The someone was infuriated by somebody.,infuriate
Something infuriated somebody.,Output: Somebody was infuriated by something.,infuriate
Somebody irritates someone.,"The sentence ""Somebody irritates someone"" can be passivized as follows:

Output: Someone is irritated by somebody.",irritate
Something irritates somebody.,Output: Somebody is irritated by something.,irritate
Somebody pleased someone.,Output: Someone was pleased by somebody.,please
Something pleased somebody.,"The sentence in passive voice would be: ""Somebody was pleased by something.""",please
Somebody provoked something.,The something was provoked by somebody.,provoke
Something provoked someone.,Output: Someone was provoked by something.,provoke
Somebody solved a puzzle.,The puzzle was solved by somebody.,puzzle
Something puzzled someone.,Output: Someone was puzzled by something.,puzzle
Somebody reassured someone.,Output: Someone was reassured by somebody.,reassure
Something reassured somebody.,Output: Somebody was reassured by something.,reassure
Somebody repulsed something.,Output: Something was repulsed by somebody.,repulse
Something repulsed someone.,Something was repulsed by someone.,repulse
Somebody saddened someone.,"The sentence can be passivized as follows: 

Output: Someone was saddened by somebody.",sadden
Something saddened somebody.,Output: Somebody was saddened by something.,sadden
Somebody scared something. ,The something was scared by somebody.,scare
Something scared someone.,Output: Someone was scared by something.,scare
Somebody was shocked by something.,"The sentence ""Somebody was shocked by something."" is already in passive voice. The subject (""somebody"") is receiving the action (being shocked) rather than performing it. Therefore, the given sentence does not need to be passivized further. 

If you want a rephrased version, it can be expressed as: ""Something shocked somebody."" However, this is an active voice transformation rather than a passivization.",shock
Something shocked someone.,Output: Someone was shocked by something.,shock
Somebody sickened something.,Output: Something was sickened by somebody.,sicken
Something sickened someone.,Output: Someone was sickened by something.,sicken
Somebody startled somebody else.,Somebody else was startled by somebody.,startle
Something startled someone in the dark.,The dark was startled by someone.,startle
Somebody stunned something.  ,The something was stunned by somebody.,stun
Something stunned someone.,Output: Someone was stunned by something.,stun
Somebody surprised someone.,The someone was surprised by somebody.,surprise
Something surprised somebody.,Output: Somebody was surprised by something.,surprise
Somebody teased someone.,"The sentence ""Somebody teased someone."" can be passivized as follows:

Output: Someone was teased by somebody.",tease
Something teased somebody.,Output: Somebody was teased by something.,tease
Somebody terrified someone.,"The sentence in passive voice would be: ""Someone was terrified by somebody.""",terrify
Something terrified somebody.,Output: Somebody was terrified by something.,terrify
Somebody terrorized something.,The sentence in passive voice would be: Something was terrorized by somebody.,terrorize
Something terrorized someone.,Output: Someone was terrorized by something.,terrorize
Somebody threatened something.,The something was threatened by somebody.,threaten
Someone threatened somebody.,"The sentence ""Someone threatened somebody"" when passivized would be: ""Somebody was threatened by someone.""",threaten
Somebody upset someone.,"The sentence ""Somebody upset someone"" can be passivized as:

""Someone was upset by somebody.""",upset
Something upset somebody.,Output: Somebody was upset by something.,upset
Somebody is worrying about something.,Output: Something is being worried about by somebody.,worry
"Somewhere in the world, someone is worrying about their future.",The future is being worried about by someone somewhere in the world.,worry
Somebody wowed someone.,"The sentence can be passivized as: ""Someone was wowed by somebody.""",wow
Something wowed somebody.,Output: Somebody was wowed by something.,wow
Somebody admired something beautiful.,Output: Something beautiful was admired by somebody.,admire
"Somewhere, someone admires the art.",The art is admired by someone somewhere.,admire
Somebody adores something. ,The something is adored by somebody.,adore
Something adores someone.,"The sentence ""Something adores someone"" can be passivized as: ""Someone is adored by something.""",adore
Somebody heard something.,Something was heard by somebody.,hear
Someone heard somewhere.,"The sentence ""Someone heard somewhere."" can be passivized as: ""Somewhere was heard by someone.""",hear
Somebody ignored something.  ,Output: Something was ignored by somebody.,ignore
Something ignored someone.,Something was ignored by someone.,ignore
Somebody noticed something interesting.,Something interesting was noticed by somebody.,notice
Something noticed someone in the crowd.,The crowd was noticed by someone.,notice
Somebody saw something.,Output: Something was seen by somebody.,see
Something saw someone.,The sentence in passive voice is: Someone was seen by something.,see
Somebody sensed something unusual.,Something unusual was sensed by somebody.,sense
Something sensed someone nearby.,Output: Someone was sensed by something.,sense
Somebody smelled something.,Something was smelled by somebody.,smell
Something smelled someone.,Output: Someone was smelled by something.,smell
Somebody discovered something fascinating.,Something fascinating was discovered by somebody.,discover
Something discovered someone unexpected.,The unexpected was discovered by something.,discover
Somebody examined something.,Output: Something was examined by somebody.,examine
Something examined someone.,Output: Someone was examined by something.,examine
Somebody caught a glimpse of something.,A glimpse of something was caught by somebody.,glimpse
Someone had a glimpse of somewhere remarkable.,A glimpse of somewhere remarkable was had by someone.,glimpse
Somebody inspected something.,Output: Something was inspected by somebody.,inspect
Something inspected someone.,The someone was inspected by something.,inspect
Somebody is investigating something.,Something is being investigated by somebody.,investigate
Something is investigating someone.,Output: Someone is being investigated by something.,investigate
Somebody observed something in the park.,The something was observed by somebody in the park.,observe
Something observed someone from the shadows.,Output: Someone was observed by something from the shadows.,observe
Somebody overheard something.,Something was overheard by somebody.,overhear
Something overheard someone.,Output: Someone was overheard by something.,overhear
Somebody recognized something.,Something was recognized by somebody.,recognize
Something recognized someone.,Output: Someone was recognized by something.,recognize
Somebody remembered something.,Output: Something was remembered by somebody.,remember
Something reminded someone.,Something was reminded by someone.,remember
Somebody spotted something unusual. ,Output: Something unusual was spotted by somebody.,spot
Something spotted someone in the distance.,Something was spotted by someone in the distance.,spot
Somebody spied on something.,Output: Something was spied on by somebody.,spy on
Someone spied on somebody.,"The sentence ""Someone spied on somebody"" can be passivized as: 

""Somebody was spied on by someone.""",spy on
Somebody watched something.,Output: Something was watched by somebody.,watch
Something watched someone.,Output: Someone was watched by something.,watch
Somebody gazed at something.,Output: Something was gazed at by somebody.,gaze at
Something gazed at someone.,Output: Someone was gazed at by something.,gaze at
Somebody listened to something.,Output: Something was listened to by somebody.,listen to
Something listened to someone.,Output: Someone was listened to by something.,listen to
Somebody looked at something.,Output: Something was looked at by somebody.,look at
Something looked at someone.,The someone was looked at by something.,look at
Somebody stared at something.,The something was stared at by somebody.,stare at
Something stared at someone.,"The sentence ""Something stared at someone"" can be passivized as ""Someone was stared at by something.""",stare at
Somebody appreciates something.,Output: Something is appreciated by somebody.,appreciate
Something appreciates someone.,Output: Someone is appreciated by something.,appreciate
Somebody believes in something.,"The sentence ""Somebody believes in something"" can be passivized as follows:

""Something is believed in by somebody.""",believe
Someone believes in somewhere better.,"The sentence ""Someone believes in somewhere better"" can be passivized as follows:

""Somewhere better is believed in by someone.""",believe
Somebody idolizes someone.,The person is idolized by somebody.,idolize
Something idolizes somebody.,Output: Somebody is idolized by something.,idolize
Somebody knows something.,Something is known by somebody.,know
Something knows someone.,Output: Someone is known by something.,know
Somebody likes something. ,Output: Something is liked by somebody.,like
"Somewhere, someone likes something.",Output: Something is liked by someone somewhere.,like
Somebody loves somebody.,Somebody is loved by somebody.,love
Something loves someone.,Output: Someone is loved by something.,love
Somebody missed something.,Output: Something was missed by somebody.,miss
Something missed someone.,Output: Someone was missed by something.,miss
Somebody deserves respect.,Output: Respect is deserved by somebody.,respect
Something about respect surprises someone.,Something about respect is surprised by someone.,respect
Somebody supports something.,The something is supported by somebody.,support
Something supports someone.,Output: Someone is supported by something.,support
Somebody tolerated something.,Output: Something was tolerated by somebody.,tolerate
Something tolerated someone.,Output: Someone was tolerated by something.,tolerate
Somebody trusted somebody else.,"The sentence can be passivized as: ""Somebody else was trusted by somebody.""",trust
"Somewhere, someone trusted something.","The phrase ""something was trusted by someone somewhere.""",trust
Somebody understood something.,Output: Something was understood by somebody.,understand
Something understood someone.,"The sentence ""Something understood someone."" can be passivized as follows:

Output: Someone was understood by something.",understand
Somebody worships something.,Output: Something is worshipped by somebody.,worship
Something worshiped someone.,Output: Someone was worshiped by something.,worship
Somebody despises something.,Output: Something is despised by somebody.,despise
Something despises someone.,Output: Someone is despised by something.,despise
Somebody detests something.,Output: Something is detested by somebody.,detest
Something detests someone.,Output: Someone is detested by something.,detest
Somebody dislikes something.,Output: Something is disliked by somebody.,dislike
Someone dislikes somebody.,"The sentence ""Someone dislikes somebody"" can be passivized as: ""Somebody is disliked by someone.""",dislike
Somebody distrusts something.,Output: Something is distrusted by somebody.,distrust
Someone distrusts somebody.,Output: Somebody is distrusted by someone.,distrust
Somebody dreaded something.,Output: Something was dreaded by somebody.,dread
Something made someone dread.,Output: Someone was made to dread by something.,dread
Somebody envies someone for their success.,Output: Someone is envied by somebody for their success.,envy
Something about the way someone behaves creates envy.,Output: Envy is created by something about the way someone behaves.,envy
Somebody feared something.,Something was feared by somebody.,fear
Something fearful made someone afraid.,The fearful thing was made to make someone afraid.,fear
Somebody forgot something.,Something was forgotten by somebody.,forget
Something made someone forget.,Output: Someone was made to forget by something.,forget
Somebody hates something.,Output: Something is hated by somebody.,hate
Something hates someone.,Output: Someone is hated by something.,hate
Somebody loathes something.  ,Something is loathed by somebody.,loathe
Something loathes someone.,Output: Someone is loathed by something.,loathe
Somebody resents something.,The something is resented by somebody.,resent
Something makes someone resentful.,Output: Someone is made resentful by something.,resent
Somebody detected something.,Output: Something was detected by somebody.,detect
Something detected someone.,The sentence in passive voice would be: Someone was detected by something.,detect
Somebody discerned something in the shadows.,Something was discerned by somebody in the shadows.,discern
Something discerned someone in the crowd.,Output: Someone was discerned by something in the crowd.,discern
Somebody felt something.,Something was felt by somebody.,feel
Something made someone feel.,Output: Someone was made to feel by something.,feel
Somebody tasted something at the festival. ,Output: Something was tasted by somebody at the festival.,taste
Something tasted better than someone expected.,Something was tasted better than someone expected.,taste
Somebody needs something.  ,Something needs to be done by somebody.,need
Something needs someone.  ,Output: Someone is needed by something.,need
Somebody wants something.,Something is wanted by somebody.,want
Something wants someone.,Output: Someone is wanted by something.,want
Somebody received something.  ,Output: Something was received by somebody.,receive
Something received someone.,The someone was received by something.,receive
Somebody accepted something.  ,Output: Something was accepted by somebody.,accept
Something accepted someone.,Output: Someone was accepted by something.,accept
Somebody is undergoing something important.,The important thing is being undergone by somebody.,undergo
Something is undergoing a change somewhere.,The change is being undergone by something somewhere.,undergo
Somebody succumbed to something.  ,The something was succumbed to by somebody.,succumb to
Something caused someone to succumb to fear.,Output: Fear was succumbed to by someone by something.,succumb to
Somebody inherited something.,Output: Something was inherited by somebody.,inherit
"Somewhere, someone inherited something.",Something was inherited by someone.,inherit
Somebody got something.,Something was gotten by somebody.,get
Something got someone.,Output: Someone was gotten by something.,get
Somebody owns something.,The something is owned by somebody.,own
Something owns somebody.,Output: Somebody is owned by something.,own
Somebody possesses something.,Output: Something is possessed by somebody.,possess
Something possesses someone.,Output: Someone is possessed by something.,possess
Somebody justified something.,Output: Something was justified by somebody.,justify
Something justified someone.,Output: Someone was justified by something.,justify
Somebody proved something.,Something was proved by somebody.,prove
Something proved someone.,Output: Someone was proved by something.,prove
Somebody created something.,Output: Something was created by somebody.,create
Something created someone.,"The sentence ""Something created someone"" can be passivized as follows:

Output: Someone was created by something.",create
Somebody nullified something.,Output: Something was nullified by somebody.,nullify
Something nullified someone.,The nullification was done by someone.,nullify
Somebody asserted something.,Output: Something was asserted by somebody.,assert
Something asserted someone.,Output: Someone was asserted by something.,assert
Somebody confirmed something.  ,"The sentence ""Somebody confirmed something."" can be passivized to:
""Something was confirmed by somebody.""",confirm
Something confirmed someone.,Output: Someone was confirmed by something.,confirm
Somebody demonstrated something.,Output: Something was demonstrated by somebody.,demonstrate
Something demonstrated someone.,"The sentence ""Something demonstrated someone"" can be passivized as: 

""Someone was demonstrated by something.""",demonstrate
Somebody explained something. ,Something was explained by somebody.,explain
Something explained to someone.,Output: Someone was explained to by something.,explain
Somebody implied something.,Output: Something was implied by somebody.,imply
Something implied someone.,Output: Someone was implied by something.,imply
Somebody indicated something.  ,Output: Something was indicated by somebody.,indicate
Something indicated someone.,Output: Someone was indicated by something.,indicate
Somebody obscured something important.,Something important was obscured by somebody.,obscure
Something obscured someone’s view.,Output: Someone's view was obscured by something.,obscure
Somebody proclaimed something at the event.,The event was proclaimed something by somebody.,proclaim
Something proclaimed someone as a hero.,Output: Someone was proclaimed as a hero by something.,proclaim
Somebody predicted something.,The something was predicted by somebody.,predict
Something predicted someone.,Output: Someone was predicted by something.,predict
Somebody revealed something.,Output: Something was revealed by somebody.,reveal
Something revealed someone.,"The sentence ""Something revealed someone"" can be passivized as:

""Someone was revealed by something.""",reveal
Somebody showed something interesting.,Output: Something interesting was shown by somebody.,show
Something showed someone the way.,The way was shown to someone by something.,show
Somebody suggested something.,Output: Something was suggested by somebody.,suggest
Something suggested someone.,The suggestion was made by someone.,suggest
Somebody encircled something.,Output: Something was encircled by somebody.,encircle
Something encircled someone.,Output: Someone was encircled by something.,encircle
Somebody crossed the border somewhere.,The border was crossed by somebody.,border
Something marked the border between two countries.,The border between two countries was marked by something.,border
Somebody dotted something.,Output: Something was dotted by somebody.,dot
Something dotted someone.,Output: Someone was dotted by something.,dot
Somebody covered something with a blanket.,The blanket was used to cover something by somebody.,"cover (i.e., span an area of land)"
Something covered somewhere with a thick layer of snow.,"The sentence ""Something covered somewhere with a thick layer of snow"" does not have a clear agent performing an action. It is somewhat vague and doesn't follow a typical subject-verb structure. However, I can attempt to convert it into a more passive-like construction.

Output: Somewhere was covered by something with a thick layer of snow.","cover (i.e., span an area of land)"
Somebody capped something.,The thing was capped by somebody.,cap
Something capped someone.,Output: Someone was capped by something.,cap
Somebody drew a line somewhere.  ,A line was drawn somewhere by somebody.,line
Something crossed the line for someone.  ,The line was crossed by someone.,line
Somebody surrounded something.,Output: Something was surrounded by somebody.,surround
Something surrounded someone.,Something was surrounded by someone.,surround
Somebody headed somewhere.,Output: Somewhere was headed by somebody.,"head (i.e., be at the top of)"
Something headed towards someone.,Something was headed towards someone by someone.,"head (i.e., be at the top of)"
Somebody spanned something.,Output: Something was spanned by somebody.,span
Something spanned somewhere.,Output: Somewhere was spanned by something.,span
Somebody contained something.,Output: Something was contained by somebody.,contain
Something contained someone.,"The sentence ""Something contained someone"" can be passivized as:

""Someone was contained by something.""",contain
Somebody abuts something.,Output: Something is abutted by somebody.,abut
Something abuts somewhere.,Output: Somewhere is abutted by something.,abut
Somebody filled something with dirt.,Something was filled with dirt by somebody.,"fill (i.e., occupy a particular area of land)"
Something filled somewhere with noise.,Output: Somewhere was filled with noise by something.,"fill (i.e., occupy a particular area of land)"
Somebody rang something.,Output: Something was rung by somebody.,ring
Something rang somewhere.,Output: Something was rung somewhere.,ring
Somebody measured something.,Output: Something was measured by somebody.,measure
Something measured someone.,Output: Someone was measured by something.,measure
Somebody read something interesting. ,Something interesting was read by somebody.,"read (i.e., to say, as in a sign)"
Something read something to someone.,Output: Something was read to someone by something.,"read (i.e., to say, as in a sign)"
